"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession","PubMed ID","First Author",Location
rs3116989-<b>?</b>,"3 x 10-17",,NR,1.096,'-,[1.07-1.12],HLA-DPA3,"Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",6:33131761
rs2070901-<b>?</b>,"3 x 10-32",,NR,1.1,'-,[1.08-1.12],FCER1G,"Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",1:161215268
rs74180212-<b>?</b>,"5 x 10-37",,NR,1.101,'-,[1.09-1.12],IL1R1-AS1,"Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",2:102181785
rs62408233-<b>?</b>,"3 x 10-38",,NR,1.103,'-,[1.09-1.12],BACH2,"Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",6:90266890
rs4722758-<b>?</b>,"3 x 10-28",,NR,1.103,'-,[1.09-1.12],JAZF1,"Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",7:28116987
rs9860547-<b>?</b>,"4 x 10-42",,NR,1.105,'-,[1.09-1.12],LPP,"Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",3:188411191
rs12750027-<b>?</b>,"3 x 10-10",,NR,1.109,'-,[1.08-1.14],FLVCR1,"Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",1:212883085
rs17454584-<b>?</b>,"6 x 10-36",,NR,1.114,'-,[1.1-1.13],"IL2, ADAD1","Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",4:122432277
rs7734635-<b>?</b>,"2 x 10-30",,NR,1.116,'-,[1.1-1.13],"AC008782.1, SLC25A46","Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",5:110823145
rs12365699-<b>?</b>,"4 x 10-30",,NR,1.119,'-,[1.1-1.14],"CXCR5, AP004609.1","Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",11:118872577
rs62623446-<b>?</b>,"8 x 10-13",,NR,1.119,'-,[1.09-1.15],TESPA1,"Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",12:54974507
rs2066844-<b>?</b>,"1 x 10-10",,NR,1.119,'-,[1.09-1.15],NOD2,"Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",16:50712015
rs113010607-<b>?</b>,"2 x 10-19",,NR,1.126,'-,[1.1-1.15],SEPTIN8,"Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",5:132770006
rs1612986-<b>?</b>,"8 x 10-41",,NR,1.131,'-,[1.11-1.15],"LINC00709, AC044784.1","Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",10:9022753
rs114444221-<b>?</b>,"9 x 10-18",,NR,1.133,'-,[1.1-1.16],HLA-B,"Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",6:31335547
rs12935657-<b>?</b>,"1 x 10-49",,NR,1.133,'-,[1.12-1.15],CLEC16A,"Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",16:11125184
rs6594499-<b>?</b>,"4 x 10-66",,NR,1.134,'-,[1.12-1.15],"WDR36, AC010468.2","Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",5:111134439
rs2299012-<b>?</b>,"1 x 10-49",,NR,1.141,'-,[1.12-1.16],"AC116366.3, RAD50","Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",5:132581248
rs16903574-<b>?</b>,"1 x 10-23",,NR,1.145,'-,[1.12-1.17],OTULINL,"Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",5:14610200
rs11071559-<b>?</b>,"2 x 10-37",,NR,1.145,'-,[1.12-1.17],RORA,"Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",15:60777789
rs1861245-<b>?</b>,"2 x 10-69",,NR,1.15,'-,[1.13-1.17],"IL18R1, IL1RL1","Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",2:102350446
rs72743461-<b>?</b>,"6 x 10-63",,NR,1.152,'-,[1.13-1.17],SMAD3,"Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",15:67149412
rs11236797-<b>?</b>,"1 x 10-93",,NR,1.162,'-,[1.15-1.18],"AP001189.2, EMSY","Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",11:76588605
rs5743618-<b>?</b>,"3 x 10-74",,NR,1.165,'-,[1.15-1.18],TLR1,"Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",4:38797027
rs340934-<b>?</b>,"3 x 10-62",,NR,1.167,'-,[1.15-1.18],"GTF3AP1, AL162384.1","Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",9:6081804
rs34290285-<b>?</b>,"4 x 10-69",,NR,1.168,'-,[1.15-1.19],D2HGDH,"Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",2:241759225
rs12413578-<b>?</b>,"9 x 10-41",,NR,1.178,'-,[1.15-1.2],"AC044784.1, LINC00709","Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",10:9007290
rs1837253-<b>?</b>,"7 x 10-94",,NR,1.186,'-,[1.17-1.2],"TSLP, AC010395.1","Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",5:111066174
rs117710327-<b>?</b>,"3 x 10-29",,NR,1.196,'-,[1.16-1.23],"AC008738.6, SLC7A10","Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",19:33235672
rs7848215-<b>?</b>,"5 x 10-115",,NR,1.206,'-,[1.19-1.22],"GTF3AP1, IL33","Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",9:6213468
rs12964116-<b>?</b>,"8 x 10-18",,NR,1.236,'-,[1.19-1.28],SERPINB7,"Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",18:63775385
rs12722502-<b>?</b>,"7 x 10-14",,NR,1.288,'-,[1.22-1.35],IL2RA,"Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",10:6051176
rs4795399-<b>?</b>,"1 x 10-257",,NR,1.289,'-,[1.28-1.3],GSDMB,"Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",17:39905186
rs117097909-<b>?</b>,"2 x 10-51",,NR,1.292,'-,[1.26-1.33],GSDMB,"Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",17:39908718
rs72823641-<b>?</b>,"2 x 10-136",,NR,1.305,'-,[1.28-1.33],"IL1RL1, IL18R1","Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",2:102319699
rs12123821-<b>?</b>,"8 x 10-48",,NR,1.307,'-,[1.27-1.34],"FLG-AS1, AL589986.2","Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",1:152206676
rs112401631-<b>?</b>,"2 x 10-18",,NR,1.31,'-,[1.25-1.37],"AC004585.2, SMARCE1","Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",17:40608272
rs55646091-<b>?</b>,"6 x 10-74",,NR,1.364,'-,[1.33-1.4],"EMSY, AP001189.2","Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",11:76588387
rs78545931-<b>?</b>,"9 x 10-59",,NR,1.398,'-,[1.36-1.44],"FAM183DP, IL1RL1","Asthma (childhood onset)","childhood onset asthma",GCST007800,30929738,"Ferreira MAR",2:102265892
rs59289606-<b>A</b>,"5 x 10-8",(EA),0.2,2.06,'-,NR,KIAA1958,"Self-reported childhood asthma in adult smokers","childhood onset asthma, smoking status measurement",GCST007508,30373671,"Hayden LP",9:112563085
rs439399-<b>C</b>,"4 x 10-7",(EA),0.22,1.52,'-,NR,PDZD2,"Self-reported childhood asthma in adult smokers","childhood onset asthma, smoking status measurement",GCST007508,30373671,"Hayden LP",5:31696629
rs7315121-<b>T</b>,"2 x 10-7",(AA),0.07,2.9,'-,NR,"AC023794.5, AC023794.2","Self-reported childhood asthma in adult smokers","childhood onset asthma, smoking status measurement",GCST007508,30373671,"Hayden LP",12:54081158
rs56317450-<b>A</b>,"5 x 10-7",(AA),0.08,2.11,'-,NR,PHF14,"Self-reported childhood asthma in adult smokers","childhood onset asthma, smoking status measurement",GCST007508,30373671,"Hayden LP",7:11137720
rs4679858-<b>G</b>,"2 x 10-7",,NR,1.48,'-,NR,IQCJ-SCHIP1,"Self-reported childhood asthma in adult smokers","childhood onset asthma, smoking status measurement",GCST007508,30373671,"Hayden LP",3:159428036
rs17742723-<b>T</b>,"2 x 10-6",,0.14,1.35,'-,[1.20-1.54],KLHL1,"Asthma (time to childhood onset) in early life tobacco smoke exposure","childhood onset asthma, age at onset, environmental tobacco smoke exposure measurement",GCST009236,31379025,"Sugier PE",13:70061278
rs232542-<b>C</b>,"4 x 10-6",,0.69,1.33,'-,[1.18-1.50],"CYP1B1-AS1, CYP1B1","Asthma (time to childhood onset) x early life tobacco smoke interaction","childhood onset asthma, age at onset, environmental tobacco smoke exposure measurement",GCST009238,31379025,"Sugier PE",2:38101036
rs7334050-<b>G</b>,"4 x 10-8",,0.14,1.58,'-,[1.34-1.86],KLHL1,"Asthma (time to childhood onset) x early life tobacco smoke interaction","childhood onset asthma, age at onset, environmental tobacco smoke exposure measurement",GCST009238,31379025,"Sugier PE",13:70071740
rs7493885-<b>G</b>,"3 x 10-6",,0.27,1.37,'-,[1.20-1.56],AL358334.1,"Asthma (time to childhood onset) x early life tobacco smoke interaction","childhood onset asthma, age at onset, environmental tobacco smoke exposure measurement",GCST009238,31379025,"Sugier PE",14:50850700
rs13037508-<b>A</b>,"5 x 10-7",,0.63,1.48,'-,[1.27-1.72],MACROD2,"Asthma (time to childhood onset) x early life tobacco smoke interaction","childhood onset asthma, age at onset, environmental tobacco smoke exposure measurement",GCST009238,31379025,"Sugier PE",20:14948299
rs883398-<b>A</b>,"2 x 10-6",,NR,'-,"0.98 unit decrease",'-,"AL162400.1, LINC01739","Post-bronchodilator FEV1 x air pollution (CO) interaction in childhood asthma","childhood onset asthma, forced expiratory volume, traffic air pollution measurement",GCST008272,31028280,"Ierodiakonou D",1:63023669
rs4915866-<b>G</b>,"6 x 10-6",,NR,'-,"0.94 unit decrease",'-,"LINC01739, AL162400.1","Post-bronchodilator FEV1 x air pollution (CO) interaction in childhood asthma","childhood onset asthma, forced expiratory volume, traffic air pollution measurement",GCST008272,31028280,"Ierodiakonou D",1:63022557
rs1861415-<b>A</b>,"9 x 10-6",,NR,'-,"0.82 unit increase",'-,LINC01122,"Post-bronchodilator FEV1 x air pollution (CO) interaction in childhood asthma","childhood onset asthma, forced expiratory volume, traffic air pollution measurement",GCST008272,31028280,"Ierodiakonou D",2:58626423
rs6569651-<b>C</b>,"9 x 10-6",,NR,'-,"0.88 unit increase",'-,L3MBTL3,"Post-bronchodilator FEV1 x air pollution (CO) interaction in childhood asthma","childhood onset asthma, forced expiratory volume, traffic air pollution measurement",GCST008272,31028280,"Ierodiakonou D",6:130082936
rs2403547-<b>A</b>,"6 x 10-6",,NR,'-,"0.79 unit increase",'-,NAV2,"Post-bronchodilator FEV1 x air pollution (CO) interaction in childhood asthma","childhood onset asthma, forced expiratory volume, traffic air pollution measurement",GCST008272,31028280,"Ierodiakonou D",11:19966866
rs1986254-<b>G</b>,"8 x 10-6",,NR,'-,"0.83 unit increase",'-,NAV2,"Post-bronchodilator FEV1 x air pollution (CO) interaction in childhood asthma","childhood onset asthma, forced expiratory volume, traffic air pollution measurement",GCST008272,31028280,"Ierodiakonou D",11:19972258
rs13090972-<b>T</b>,"1 x 10-6",(EA),'-,'-,"1.33 unit decrease",'-,"GAPDHP50, ICE2P2","Post-bronchodilator FEV1 x air pollution (NO2) interaction in childhood asthma","childhood onset asthma, forced expiratory volume, traffic air pollution measurement",GCST008273,31028280,"Ierodiakonou D",3:89027746
rs958144-<b>T</b>,"5 x 10-6",(EA),'-,'-,"1.28 unit decrease",'-,"ICE2P2, NDUFA5P5","Post-bronchodilator FEV1 x air pollution (NO2) interaction in childhood asthma","childhood onset asthma, forced expiratory volume, traffic air pollution measurement",GCST008273,31028280,"Ierodiakonou D",3:88945522
rs13157529-<b>T</b>,"6 x 10-6",(EA),'-,'-,"1.08 unit decrease",'-,FBXL17,"Post-bronchodilator FEV1 x air pollution (NO2) interaction in childhood asthma","childhood onset asthma, forced expiratory volume, traffic air pollution measurement",GCST008273,31028280,"Ierodiakonou D",5:107985181
rs4571247-<b>G</b>,"6 x 10-6",(EA),'-,'-,"1.25 unit decrease",'-,"GAPDHP50, ICE2P2","Post-bronchodilator FEV1 x air pollution (NO2) interaction in childhood asthma","childhood onset asthma, forced expiratory volume, traffic air pollution measurement",GCST008273,31028280,"Ierodiakonou D",3:89017438
rs11656155-<b>T</b>,"6 x 10-6",(EA),'-,'-,"0.91 unit increase",'-,"LINC02073, CA10","Post-bronchodilator FEV1 x air pollution (NO2) interaction in childhood asthma","childhood onset asthma, forced expiratory volume, traffic air pollution measurement",GCST008273,31028280,"Ierodiakonou D",17:51593949
rs7041938-<b>G</b>,"7 x 10-6",(EA),'-,'-,"1.14 unit increase",'-,TXNDC8,"Post-bronchodilator FEV1 x air pollution (NO2) interaction in childhood asthma","childhood onset asthma, forced expiratory volume, traffic air pollution measurement",GCST008273,31028280,"Ierodiakonou D",9:110329243
rs76830467-<b>?</b>,"3 x 10-7",,NR,'-,'-,'-,NOS1,"Baseline cortisol levels in response to low dose short synacthen test in corticosteroid treated asthma","childhood onset asthma, cortisol measurement, response to corticosteroid, response to synacthen",GCST005925,29551627,"Hawcutt DB",12:117321510
rs201541519-<b>?</b>,"3 x 10-7",,NR,'-,'-,'-,"IGHA1, ELK2AP","Baseline cortisol levels in response to low dose short synacthen test in corticosteroid treated asthma","childhood onset asthma, cortisol measurement, response to corticosteroid, response to synacthen",GCST005925,29551627,"Hawcutt DB",14:105694756
rs117420762-<b>?</b>,"3 x 10-7",,NR,'-,'-,'-,SLC2A10,"Baseline cortisol levels in response to low dose short synacthen test in corticosteroid treated asthma","childhood onset asthma, cortisol measurement, response to corticosteroid, response to synacthen",GCST005925,29551627,"Hawcutt DB",20:46719767
rs140179402-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,BCL2L13,"Baseline cortisol levels in response to low dose short synacthen test in corticosteroid treated asthma","childhood onset asthma, cortisol measurement, response to corticosteroid, response to synacthen",GCST005925,29551627,"Hawcutt DB",22:17685512
rs111863753-<b>?</b>,"8 x 10-7",,NR,'-,'-,'-,GBA3,"Peak cortisol response to low dose short synacthen test in corticosteroid treated asthma","childhood onset asthma, cortisol measurement, response to corticosteroid, response to synacthen",GCST005926,29551627,"Hawcutt DB",4:22794376
rs149647891-<b>?</b>,"6 x 10-7",,NR,'-,'-,'-,"AL138828.1, PDE7B","Peak cortisol response to low dose short synacthen test in corticosteroid treated asthma","childhood onset asthma, cortisol measurement, response to corticosteroid, response to synacthen",GCST005926,29551627,"Hawcutt DB",6:136006932
rs5875060-<b>?</b>,"8 x 10-8",,NR,'-,'-,'-,SCGN,"Peak cortisol response to low dose short synacthen test in corticosteroid treated asthma","childhood onset asthma, cortisol measurement, response to corticosteroid, response to synacthen",GCST005926,29551627,"Hawcutt DB",6:25701740
rs142161979-<b>?</b>,"9 x 10-9",,NR,'-,'-,'-,ANKS1B,"Peak cortisol response to low dose short synacthen test in corticosteroid treated asthma","childhood onset asthma, cortisol measurement, response to corticosteroid, response to synacthen",GCST005926,29551627,"Hawcutt DB",12:99392036
rs137939366-<b>?</b>,"3 x 10-7",,NR,'-,'-,'-,ELSPBP1,"Peak cortisol response to low dose short synacthen test in corticosteroid treated asthma","childhood onset asthma, cortisol measurement, response to corticosteroid, response to synacthen",GCST005926,29551627,"Hawcutt DB",19:48019433
rs142320277-<b>?</b>,"5 x 10-8",,NR,'-,'-,'-,LRP1B,"Peak cortisol response to low dose short synacthen test in corticosteroid treated asthma","childhood onset asthma, cortisol measurement, response to corticosteroid, response to synacthen",GCST005926,29551627,"Hawcutt DB",2:140665410
rs6967330-<b>A</b>,"3 x 10-14",,0.19,1.26,'-,[1.18-1.33],CDHR3,"Asthma (childhood onset)","childhood onset asthma",GCST002275,24241537,"Bønnelykke K",7:106018005
rs2305480-<b>G</b>,"6 x 10-23",,0.6,1.32,'-,[1.23-1.39],GSDMB,"Asthma (childhood onset)","childhood onset asthma",GCST002275,24241537,"Bønnelykke K",17:39905943
rs928413-<b>G</b>,"9 x 10-13",,0.28,1.24,'-,[1.17-1.32],"IL33, GTF3AP1","Asthma (childhood onset)","childhood onset asthma",GCST002275,24241537,"Bønnelykke K",9:6213387
rs6871536-<b>C</b>,"8 x 10-7",,0.22,1.17,'-,[1.10-1.25],"RAD50, AC116366.3, TH2LCRR","Asthma (childhood onset)","childhood onset asthma",GCST002275,24241537,"Bønnelykke K",5:132634182
rs3894194-<b>A</b>,"3 x 10-21",,NR,1.59,'-,[1.44-1.76],GSDMA,"Asthma (childhood onset)","childhood onset asthma",GCST002275,24241537,"Bønnelykke K",17:39965740
rs1295686-<b>T</b>,"2 x 10-6",,NR,1.31,'-,[1.17-1.48],"IL13, TH2LCRR","Asthma (childhood onset)","childhood onset asthma",GCST002275,24241537,"Bønnelykke K",5:132660151
rs993226-<b>G</b>,"5 x 10-9",,0.034,1.58,'-,[1.35-1.84],"AC093027.1, AC087888.1","Atopic march","childhood onset asthma, atopic eczema, atopic march",GCST003180,26542096,"Marenholz I",12:84492794
rs9357733-<b>A</b>,"2 x 10-8",,0.808,1.27,'-,[1.17-1.38],EFHC1,"Atopic march","childhood onset asthma, atopic eczema, atopic march",GCST003180,26542096,"Marenholz I",6:52427338
rs12081541-<b>C</b>,"9 x 10-11",,0.091,1.61,'-,[1.41-1.89],"LCE5A, FLG-AS1","Atopic march","childhood onset asthma, atopic eczema, atopic march",GCST003180,26542096,"Marenholz I",1:152468890
rs17690965-<b>C</b>,"5 x 10-8",,0.264,1.24,'-,[1.15-1.33],"AC004039.1, KIF3A","Atopic march","childhood onset asthma, atopic eczema, atopic march",GCST003180,26542096,"Marenholz I",5:132694975
rs479844-<b>G</b>,"4 x 10-10",,0.560,1.25,'-,[1.24-1.43],"OVOL1, AP5B1","Atopic march","childhood onset asthma, atopic eczema, atopic march",GCST003180,26542096,"Marenholz I",11:65784486
rs2155219-<b>T</b>,"2 x 10-15",,0.487,1.33,'-,[1.24-1.43],"EMSY, AP001189.2","Atopic march","childhood onset asthma, atopic eczema, atopic march",GCST003180,26542096,"Marenholz I",11:76588150
rs10445308-<b>C</b>,"5 x 10-8",,0.529,1.22,'-,[1.14-1.30],IKZF3,"Atopic march","childhood onset asthma, atopic eczema, atopic march",GCST003180,26542096,"Marenholz I",17:39781794
rs4988958-<b>T</b>,"5 x 10-13",,NR,1.1764705,'-,[1.12-1.22],"IL1RL1, IL18R1","Asthma (childhood onset)","childhood onset asthma",GCST005213,29273806,"Demenais F",2:102351825
rs1295685-<b>A</b>,"2 x 10-9",,NR,1.1627907,'-,[1.11-1.22],"IL13, TH2LCRR","Asthma (childhood onset)","childhood onset asthma",GCST005213,29273806,"Demenais F",5:132660753
rs2596464-<b>C</b>,"1 x 10-8",,NR,1.12,'-,[1.08-1.17],"LINC01149, AL645933.5","Asthma (childhood onset)","childhood onset asthma",GCST005213,29273806,"Demenais F",6:31445184
rs12551256-<b>A</b>,"3 x 10-8",,NR,1.1235955,'-,[1.08-1.16],IL33,"Asthma (childhood onset)","childhood onset asthma",GCST005213,29273806,"Demenais F",9:6231239
rs8069176-<b>G</b>,"4 x 10-26",,NR,1.25,'-,[1.2-1.3],"ZPBP2, GSDMB","Asthma (childhood onset)","childhood onset asthma",GCST005213,29273806,"Demenais F",17:39900944
rs1986009-<b>?</b>,"5 x 10-10",(conditional),NR,'-,'-,'-,"IL5, AC116366.3",Asthma,asthma,GCST009720,31361310,"Johansson Å",5:132552294
rs2844584-<b>?</b>,"2 x 10-21",(conditional),NR,'-,'-,'-,HLA-B,Asthma,asthma,GCST009720,31361310,"Johansson Å",6:31353747
rs3104412-<b>?</b>,"1 x 10-142",(conditional),NR,'-,'-,'-,"HLA-DQA1, HLA-DRB1",Asthma,asthma,GCST009720,31361310,"Johansson Å",6:32618190
rs114798579-<b>?</b>,"7 x 10-19",(conditional),NR,'-,'-,'-,HLA-DQA1,Asthma,asthma,GCST009720,31361310,"Johansson Å",6:32629564
rs9272545-<b>?</b>,"7 x 10-288",(conditional),NR,'-,'-,'-,HLA-DQA1,Asthma,asthma,GCST009720,31361310,"Johansson Å",6:32639108
rs17843577-<b>?</b>,"8 x 10-223",(conditional),NR,'-,'-,'-,"HLA-DQA1, HLA-DQB1",Asthma,asthma,GCST009720,31361310,"Johansson Å",6:32647733
rs2647025-<b>?</b>,"4 x 10-99",(conditional),NR,'-,'-,'-,HLA-DQB1,Asthma,asthma,GCST009720,31361310,"Johansson Å",6:32668172
rs1694112-<b>?</b>,"8 x 10-41",(conditional),NR,'-,'-,'-,"MTCO3P1, HLA-DQB1",Asthma,asthma,GCST009720,31361310,"Johansson Å",6:32681887
rs7755224-<b>?</b>,"5 x 10-138",(conditional),NR,'-,'-,'-,"HLA-DQB1, MTCO3P1",Asthma,asthma,GCST009720,31361310,"Johansson Å",6:32684540
rs79870097-<b>?</b>,"6 x 10-30",(conditional),NR,'-,'-,'-,"HLA-DQB1, MTCO3P1",Asthma,asthma,GCST009720,31361310,"Johansson Å",6:32694218
rs9275602-<b>?</b>,"5 x 10-29",(conditional),NR,'-,'-,'-,"AL662789.1, MTCO3P1",Asthma,asthma,GCST009720,31361310,"Johansson Å",6:32715035
rs9276643-<b>?</b>,"7 x 10-105",(conditional),NR,'-,'-,'-,"HLA-DQB2, HLA-DOB",Asthma,asthma,GCST009720,31361310,"Johansson Å",6:32777057
rs7749543-<b>?</b>,"8 x 10-115",(conditional),NR,'-,'-,'-,"HLA-DQB2, HLA-DOB",Asthma,asthma,GCST009720,31361310,"Johansson Å",6:32783639
rs2621363-<b>?</b>,"7 x 10-31",(conditional),NR,'-,'-,'-,"HLA-DQB2, HLA-DOB",Asthma,asthma,GCST009720,31361310,"Johansson Å",6:32801612
rs13241235-<b>?</b>,"3 x 10-14",(conditional),NR,'-,'-,'-,"ITGB8, EEF1A1P27",Asthma,asthma,GCST009720,31361310,"Johansson Å",7:20545214
rs343478-<b>?</b>,"2 x 10-23",(conditional),NR,'-,'-,'-,AL162384.1,Asthma,asthma,GCST009720,31361310,"Johansson Å",9:6051399
rs72699188-<b>?</b>,"1 x 10-8",(conditional),NR,'-,'-,'-,"AL162384.1, GTF3AP1",Asthma,asthma,GCST009720,31361310,"Johansson Å",9:6176871
rs62626322-<b>?</b>,"3 x 10-9",(conditional),NR,'-,'-,'-,"RBM17, RPL32P23",Asthma,asthma,GCST009720,31361310,"Johansson Å",10:6073676
rs61841332-<b>?</b>,"1 x 10-10",(conditional),NR,'-,'-,'-,PRKCQ-AS1,Asthma,asthma,GCST009720,31361310,"Johansson Å",10:6586262
rs3781094-<b>?</b>,"2 x 10-8",(conditional),NR,'-,'-,'-,GATA3,Asthma,asthma,GCST009720,31361310,"Johansson Å",10:8059464
rs6602301-<b>?</b>,"9 x 10-10",(conditional),NR,'-,'-,'-,AC025946.1,Asthma,asthma,GCST009720,31361310,"Johansson Å",10:8418702
rs7894791-<b>?</b>,"5 x 10-9",(conditional),NR,'-,'-,'-,"CHCHD3P1, KRT8P37",Asthma,asthma,GCST009720,31361310,"Johansson Å",10:8549406
rs11255938-<b>?</b>,"3 x 10-12",(conditional),NR,'-,'-,'-,"LINC02676, AL355333.1",Asthma,asthma,GCST009720,31361310,"Johansson Å",10:8808772
rs72782675-<b>?</b>,"3 x 10-11",(conditional),NR,'-,'-,'-,"LINC00709, AC044784.1",Asthma,asthma,GCST009720,31361310,"Johansson Å",10:8986983
rs12413578-<b>?</b>,"1 x 10-15",(conditional),NR,'-,'-,'-,"AC044784.1, LINC00709",Asthma,asthma,GCST009720,31361310,"Johansson Å",10:9007290
rs55646091-<b>?</b>,"2 x 10-20",(conditional),NR,'-,'-,'-,"EMSY, AP001189.2",Asthma,asthma,GCST009720,31361310,"Johansson Å",11:76588387
rs1689510-<b>?</b>,"3 x 10-20",(conditional),NR,'-,'-,'-,SUOX,Asthma,asthma,GCST009720,31361310,"Johansson Å",12:56002984
rs3122929-<b>?</b>,"6 x 10-11",(conditional),NR,'-,'-,'-,STAT6,Asthma,asthma,GCST009720,31361310,"Johansson Å",12:57115319
rs12592283-<b>?</b>,"5 x 10-9",(conditional),NR,'-,'-,'-,SMAD3,Asthma,asthma,GCST009720,31361310,"Johansson Å",15:67079082
rs10152595-<b>?</b>,"4 x 10-13",(conditional),NR,'-,'-,'-,SMAD3,Asthma,asthma,GCST009720,31361310,"Johansson Å",15:67183150
rs3785356-<b>?</b>,"3 x 10-11",(conditional),NR,'-,'-,'-,IL4R,Asthma,asthma,GCST009720,31361310,"Johansson Å",16:27337847
rs112401631-<b>?</b>,"8 x 10-11",(conditional),NR,'-,'-,'-,"AC004585.2, SMARCE1",Asthma,asthma,GCST009720,31361310,"Johansson Å",17:40608272
rs7219483-<b>?</b>,"5 x 10-12",(conditional),NR,'-,'-,'-,AC073508.2,Asthma,asthma,GCST009720,31361310,"Johansson Å",17:40651705
rs159960-<b>A</b>,"4 x 10-10",,0.4389,'-,'-,'-,RERE,Asthma,asthma,GCST009720,31361310,"Johansson Å",1:8416368
rs12123821-<b>T</b>,"2 x 10-27",,0.04811,'-,'-,'-,"FLG-AS1, AL589986.2",Asthma,asthma,GCST009720,31361310,"Johansson Å",1:152206676
rs33941127-<b>T</b>,"1 x 10-9",,0.2113,'-,'-,'-,"NDUFS2, ADAMTS4",Asthma,asthma,GCST009720,31361310,"Johansson Å",1:161198214
rs1214598-<b>A</b>,"2 x 10-17",,0.3853,'-,'-,'-,"CD247, AL359962.3",Asthma,asthma,GCST009720,31361310,"Johansson Å",1:167457187
rs10912564-<b>T</b>,"2 x 10-9",,0.3047,'-,'-,'-,TNFSF4,Asthma,asthma,GCST009720,31361310,"Johansson Å",1:173201479
rs903361-<b>G</b>,"4 x 10-12",,0.3406,'-,'-,'-,"AC105940.2, ADORA1",Asthma,asthma,GCST009720,31361310,"Johansson Å",1:203122146
rs891058-<b>A</b>,"2 x 10-19",,0.2947,'-,'-,'-,LINC00299,Asthma,asthma,GCST009720,31361310,"Johansson Å",2:8302417
rs72823641-<b>A</b>,"4 x 10-61",,0.1367,'-,'-,'-,"IL1RL1, IL18R1",Asthma,asthma,GCST009720,31361310,"Johansson Å",2:102319699
rs771018-<b>A</b>,"3 x 10-8",,0.4712,'-,'-,'-,BOLL,Asthma,asthma,GCST009720,31361310,"Johansson Å",2:197785535
rs34290285-<b>A</b>,"1 x 10-44",,0.2548,'-,'-,'-,D2HGDH,Asthma,asthma,GCST009720,31361310,"Johansson Å",2:241759225
rs35570272-<b>T</b>,"1 x 10-15",,0.3954,'-,'-,'-,GLB1,Asthma,asthma,GCST009720,31361310,"Johansson Å",3:33006170
rs73078636-<b>A</b>,"2 x 10-9",,0.1291,'-,'-,'-,DCAF1,Asthma,asthma,GCST009720,31361310,"Johansson Å",3:51403873
